GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA CENTRO,CS SJLURIGANCHO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132,ESTATAL,0,0,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,SOCIAL,66,31,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,DOMESTICO,9148,10506,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,COMERCIAL,347,344,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,INDUSTRIAL,29,27,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,LURIN,150119,ESTATAL,1,1,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,SOCIAL,61,34,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,DOMESTICO,16338,16275,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,COMERCIAL,318,297,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,INDUSTRIAL,16,17,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PACHACAMAC,150123,ESTATAL,2,2,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,SOCIAL,17,10,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,DOMESTICO,1704,1672,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,COMERCIAL,52,51,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,INDUSTRIAL,1,1,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUCUSANA,150124,ESTATAL,2,2,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,SOCIAL,25,5,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,DOMESTICO,2248,2152,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,COMERCIAL,32,30,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,INDUSTRIAL,0,0,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA NEGRA,150127,ESTATAL,0,0,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,SOCIAL,2,2,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,DOMESTICO,2466,2500,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,COMERCIAL,58,59,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,INDUSTRIAL,3,3,2023,202304,20230505
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,PUNTA HERMOSA,150126,ESTATAL,0,0,2023,202304,20230505
